OVERLAPS 0
(65, 4) (0, 5850.0, 7050.0, 6480.2)
(66, 0) (0, 200.0, 1400.0, 953.8)
(67, 0) (0, 3400.0, 4100.0, 3711.0)
(67, 1) (-1, 1420.0, 2100.0, 1537.0)
(67, 2) (-1, 12580.0, 13580.0, 13168.0)
(68, 0) (0, 7305.0, 7985.0, 7344.0)
(68, 1) (0, 200.0, 2100.0, 1825.0)
(68, 2) (-1, 6930.0, 8730.0, 6954.0)
(68, 3) (1, 200.0, 1800.0, 1715.0)
(68, 4) (0, 3050.0, 3950.0, 3863.0)
(69, 0) (0, 8197.0, 9053.0, 8625.0)
(69, 1) (-1, 11600.0, 12800.0, 11740.0)
(69, 2) (0, 200.0, 2200.0, 946.0)
(69, 3) (0, 9430.0, 10630.0, 10149.0)
(69, 4) (1, 200.0, 1000.0, 946.0)
(70, 0) (0, 7810.0, 8070.0, 7927.0)
(70, 1) (1, 2310.0, 2810.0, 2756.0)
(70, 2) (1, 2370.0, 3610.0, 2756.0)
(71, 0) (0, 6630.0, 7470.0, 7050.0)
(71, 1) (0, 2310.0, 2810.0, 2581.0)
(71, 2) (0, 1220.0, 1800.0, 1571.0)
(72, 0) (0, 2360.0, 2760.0, 2560.0)
(72, 1) (1, 200.0, 1400.0, 1337.0)
(72, 2) (0, 4890.0, 6490.0, 5438.5)
(72, 3) (0, 200.0, 2300.0, 1791.5)
(72, 4) (-1, 9690.0, 10090.0, 9826.5)
(73, 0) (0, 8260.0, 9560.0, 8631.5)
(74, 0) (-2, 2360.0, 2612.0, 2409.5)
(74, 1) (-1, 7120.0, 7720.0, 7259.0)
(74, 2) (0, 6690.0, 7390.0, 7259.0)
(74, 3) (1, 1170.0, 3130.0, 3039.0)
(74, 4) (0, 4370.0, 5270.0, 4436.0)
(75, 0) (0, 2120.0, 2300.0, 2200.0)
(75, 1) (0, 5540.0, 6840.0, 5875.0)
(75, 2) (0, 6690.0, 7390.0, 7040.0)
(76, 0) (0, 240.0, 1200.0, 376.5)
(77, 0) (0, 4240.0, 4680.0, 4443.0)
(77, 1) (1, 2660.0, 4160.0, 3434.8)
(77, 2) (1, 2660.0, 4760.0, 3259.2)
(78, 0) (0, 2720.0, 2940.0, 2830.0)
(78, 1) (-1, 9750.0, 10250.0, 9762.0)
(78, 2) (-1, 7990.0, 9190.0, 8063.0)
(79, 0) (0, 7340.0, 8860.0, 7899.0)
(79, 1) (0, 7810.0, 10710.0, 9788.2)
(79, 2) (0, 2660.0, 4760.0, 4513.8)
(79, 3) (1, 2960.0, 4660.0, 4513.8)
(79, 4) (-1, 12580.0, 13580.0, 13000.2)
(80, 0) (0, 7150.0, 9050.0, 8100.0)
(80, 1) (1, 8090.0, 9690.0, 9667.5)
(80, 2) (1, 7740.0, 10440.0, 10391.2)
